SNOMED code	SNOMED descriptor	ICD-O code	topography	filter_code
79822008	Medial pectoral nerve	C47.1	top	0_0_0_6_1
79836003	Superficial transverse fibers of pons	C71.7	top	0_0_0_13_2_7
79845002	Supraoptic hypophyseal tract	C71.0	top	0_0_0_13_2_0
79868006	Glomerular capillaries	C49.4	top	0_0_0_8_4
79869003	Inferior mesenteric plexus	C47.4	top	0_0_0_6_4
79872005	Anterior vagal trunk	C72.5	top	0_0_0_13_3_5
79901003	Milk line of trunk	C76.7	top	0_0_0_15_6
79906008	Genitofemoral nerve femoral branch	C47.2	top	0_0_0_6_2
79908009	Saphenous opening	C49.2	top	0_0_0_8_2
79921002	Skin of lateral surface of middle finger	C44.6	top	0_0_0_5_6
79923004	Spinous process of sixth lumbar vertebra	C41.2	top	0_0_0_3_1_2
79926007	Sacral lymph node	C77.5	top	0_0_0_16_5
79941007	Nucleus centralis lateralis	C71.0	top	0_0_0_13_2_0
79951008	Skin of back of head	C44.4	top	0_0_0_5_4
79956003	Skin of umbilical region	C44.5	top	0_0_0_5_5
79959005	Opponens digiti minimi	C49.1	top	0_0_0_8_1
79961001	Medial atlantoaxial joint	C41.2	top	0_0_0_3_1_2
79984008	Striated muscle system	C49.9	top	0_0_0_8_8
79989003	Lateral semicircular duct	C30.1	top	0_0_0_2_0_1
80001000	Skin of lateral surface of thigh	C44.7	top	0_0_0_5_7
80049006	Forceps major	C71.8	top	0_0_0_13_2_8
80052003	Entire inferior obliquus capitis muscle	C49.0	top	0_0_0_8_0
80064006	L1/2 disc	C41.2	top	0_0_0_3_1_2
80076006	Articular process of fifth lumbar vertebra	C41.2	top	0_0_0_3_1_2
80081002	Left subapical segmental bronchus	C34.3	top	0_0_0_2_4_3
80085006	Lesser curve of stomach	C16.5	top	0_0_0_1_1_5
80088008	Entire splenic lymph node	C77.2	top	0_0_0_16_2
80091008	Sertoli cell carcinoma	8640/3	hist	0_0_1_13_25
80108009	Tendon of subscapularis muscle	C49.1	top	0_0_0_8_1
80111005	Interosseous membrane of leg	C49.2	top	0_0_0_8_2
80112003	Subperiosteum	C41.9	top	0_0_0_3_1_6
80114002	Retrocecal appendix	C18.1	top	0_0_0_1_3_1
80130005	Entire lower segmental branch of renal artery	C49.4	top	0_0_0_8_4
80134001	Ethmoidal infundibulum	C31.1	top	0_0_0_2_1_1
80139006	Entire articular part of tubercle of second rib	C41.3	top	0_0_0_3_1_3
80140008	ISO designation 44	C76.0	top	0_0_0_15_0
80144004	Calcaneus	C40.3	top	0_0_0_3_0_3
80147006	Brachial fascia	C49.1	top	0_0_0_8_1
80169004	Cochlea	C30.1	top	0_0_0_2_0_1
80195002	Structure of venous system of lower limb	C49.2	top	0_0_0_8_2
80203008	Perineal body	C49.5	top	0_0_0_8_5
80209007	Entire temporal branch of middle cerebral artery	C49.0	top	0_0_0_8_0
80243003	Eyelid	C44.1	top	0_0_0_5_1
80248007	Left breast	C50.9	top	0_0_0_9_8
80266002	Pelvis vera	C76.3	top	0_0_0_15_3
80272002	Carotid bifurcation	C49.0	top	0_0_0_8_0
80284000	Entire cortical intertubular capillary plexuses	C49.4	top	0_0_0_8_4
80303005	Lateral segment of left lobe of liver	C22.0	top	0_0_0_1_7_0
80315009	All arterioles	C49.9	top	0_0_0_8_8
80316005	Orbitalis muscle	C69.9	top	0_0_0_13_0_8
80320009	Tendon sheath of toe	C49.2	top	0_0_0_8_2
80334009	Venous sinus	C49.9	top	0_0_0_8_8
80338007	Parietal pleura	C38.4	top	0_0_0_2_6_4
80349001	Fourth toe	C76.5	top	0_0_0_15_5
80352009	Zygomaticus major muscle	C49.0	top	0_0_0_8_0
80354005	Venous system of upper extremity	C49.1	top	0_0_0_8_1
80376001	Right maxillary sinus	C31.0	top	0_0_0_2_1_0
80391004	Entire ligamentum venosum of liver	C49.4	top	0_0_0_8_4
80401008	Falx cerebri	C70.0	top	0_0_0_13_1_0
80415005	Non-ossifying fibroma	8810/0	hist	0_0_1_17_0
80417002	Triquetrum	C40.1	top	0_0_0_3_0_1
80434005	Perpendicular fasciculus	C71.0	top	0_0_0_13_2_0
80435006	Ascending pharyngeal artery	C49.0	top	0_0_0_8_0
80447000	Aqueduct	C71.5	top	0_0_0_13_2_5
80461005	Inferior constrictor pharyngeus muscle	C49.0	top	0_0_0_8_0
80463008	Head of fourth metacarpal bone	C40.1	top	0_0_0_3_0_1
80467009	Entire anterior superior renal segment	C64.9	top	0_0_0_12_0_0
80502004	Foramen centrale modioli	C30.1	top	0_0_0_2_0_1
80509008	Sural communicating branch of common peroneal nerve	C47.2	top	0_0_0_6_2
80541002	Cementum	C26.9	top	0_0_0_1_11_2
80548008	Entire bronchiole of left lower lobe	C34.3	top	0_0_0_2_4_3
80549000	Hidrocystoma	8404/0	hist	0_0_1_6_13
80565004	Entire occipital diploic vein	C49.0	top	0_0_0_8_0
80581009	Upper abdomen	C76.2	top	0_0_0_15_2
80607000	Right lobe of thymus	C37.9	top	0_0_0_2_5_0
80621003	Choroid plexus	C71.5	top	0_0_0_13_2_5
80622005	Abducens nerve	C72.5	top	0_0_0_13_3_5
80666007	Tectospinal tract of midbrain and pons	C71.7	top	0_0_0_13_2_7
80673002	Entire fungiform papillae of tongue	C01.9	top	0_0_0_0_1_0
80682008	Entire medial flexor tendon of knee	C49.2	top	0_0_0_8_2
80699009	Cementifying fibroma	9274/0	hist	0_0_1_33_6
80713004	Periorbital tissue	C69.6	top	0_0_0_13_0_6
80718008	Facial nerve zygomatic branch	C72.5	top	0_0_0_13_3_5
80721005	Entire right superior intercostal vein	C49.3	top	0_0_0_8_3
80726000	All cervical vertebrae, except atlas and axis	C41.2	top	0_0_0_3_1_2
80727009	Water-clear cell carcinoma	8322/3	hist	0_0_1_5_122
80730002	Nigrothalamic fibers	C71.7	top	0_0_0_13_2_7
80746005	Sphenobasilar synchondrosis	C41.0	top	0_0_0_3_1_0
80768000	Left upper extremity	C76.4	top	0_0_0_15_4
80769008	Tibial lymph node	C77.4	top	0_0_0_16_4
80794009	Recurrent ulnar artery	C49.1	top	0_0_0_8_1
80799004	Posterior superior alveolar nerve	C72.5	top	0_0_0_13_3_5
80830008	Lateral umbilical fold	C49.4	top	0_0_0_8_4
80867000	Gluteal lymph node	C77.5	top	0_0_0_16_5
80877003	Posterior belly of digastric muscle	C49.0	top	0_0_0_8_0
